Departments,description,message_clean,tokens,tokens_refined
immunogenetics,"hereditary spastic paraplegia 35 a hereditary spastic paraplegia that has material basis in mutation in the fa2h gene on chromosome 16q23.1. autosomal recessive spastic paraplegia 35 autosomal recessive spastic paraplegia type 35 fahn fatty acid hydroxylase associated neurodegeneration leukodystrophy, dysmyelinating and spastic paraparesis with or without dystonia spg35    hereditary spastic paraplegia immunogenetics ",hereditary spastic paraplegia 35 a hereditary spastic paraplegia that has material basis in mutation in the fa2h gene on chromosome 16q231 autosomal recessive spastic paraplegia 35 autosomal recessive spastic paraplegia type 35 fahn fatty acid hydroxylase associated neurodegeneration leukodystrophy dysmyelinating and spastic paraparesis with or without dystonia spg35    hereditary spastic paraplegia immunogenetics ,"['hereditary', 'spastic', 'paraplegia', '35', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'fa2h', 'gene', 'on', 'chromosome', '16q231', 'autosomal', 'recessive', 'spastic', 'paraplegia', '35', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '35', 'fahn', 'fatty', 'acid', 'hydroxylase', 'associated', 'neurodegeneration', 'leukodystrophy', 'dysmyelinating', 'and', 'spastic', 'paraparesis', 'with', 'or', 'without', 'dystonia', 'spg35', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '35', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'fa2h', 'gene', 'chromosome', '16q231', 'autosomal', 'recessive', 'spastic', 'paraplegia', '35', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '35', 'fahn', 'fatty', 'acid', 'hydroxylase', 'associated', 'neurodegeneration', 'leukodystrophy', 'dysmyelinating', 'spastic', 'paraparesis', 'without', 'dystonia', 'spg35', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 36 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 12q23 q24. autosomal dominant spastic paraplegia 36 autosomal dominant spastic paraplegia type 36 spg36    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 36 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 12q23 q24 autosomal dominant spastic paraplegia 36 autosomal dominant spastic paraplegia type 36 spg36    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '36', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '12q23', 'q24', 'autosomal', 'dominant', 'spastic', 'paraplegia', '36', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '36', 'spg36', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '36', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '12q23', 'q24', 'autosomal', 'dominant', 'spastic', 'paraplegia', '36', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '36', 'spg36', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 37 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 8p21.1 q13.3. autosomal dominant spastic paraplegia 37 autosomal dominant spastic paraplegia type 37 spg37    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 37 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 8p211 q133 autosomal dominant spastic paraplegia 37 autosomal dominant spastic paraplegia type 37 spg37    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '37', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '8p211', 'q133', 'autosomal', 'dominant', 'spastic', 'paraplegia', '37', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '37', 'spg37', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '37', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '8p211', 'q133', 'autosomal', 'dominant', 'spastic', 'paraplegia', '37', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '37', 'spg37', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 38 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 4p16 p15. autosomal dominant spastic paraplegia 38 autosomal dominant spastic paraplegia type 38 spg38    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 38 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 4p16 p15 autosomal dominant spastic paraplegia 38 autosomal dominant spastic paraplegia type 38 spg38    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '38', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '4p16', 'p15', 'autosomal', 'dominant', 'spastic', 'paraplegia', '38', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '38', 'spg38', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '38', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '4p16', 'p15', 'autosomal', 'dominant', 'spastic', 'paraplegia', '38', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '38', 'spg38', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 39 a hereditary spastic paraplegia that has material basis in mutation in the pnpla6 gene on chromosome 19p13. autosomal recessive spastic paraplegia 39 autosomal recessive spastic paraplegia type 39 nte related motor neuron disorder ntemnd spastic paraplegia due to neuropathy target esterase mutation spastic paraplegia due to nte mutation spg39    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 39 a hereditary spastic paraplegia that has material basis in mutation in the pnpla6 gene on chromosome 19p13 autosomal recessive spastic paraplegia 39 autosomal recessive spastic paraplegia type 39 nte related motor neuron disorder ntemnd spastic paraplegia due to neuropathy target esterase mutation spastic paraplegia due to nte mutation spg39    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '39', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'pnpla6', 'gene', 'on', 'chromosome', '19p13', 'autosomal', 'recessive', 'spastic', 'paraplegia', '39', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '39', 'nte', 'related', 'motor', 'neuron', 'disorder', 'ntemnd', 'spastic', 'paraplegia', 'due', 'to', 'neuropathy', 'target', 'esterase', 'mutation', 'spastic', 'paraplegia', 'due', 'to', 'nte', 'mutation', 'spg39', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '39', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'pnpla6', 'gene', 'chromosome', '19p13', 'autosomal', 'recessive', 'spastic', 'paraplegia', '39', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '39', 'nte', 'related', 'motor', 'neuron', 'disorder', 'ntemnd', 'spastic', 'paraplegia', 'due', 'neuropathy', 'target', 'esterase', 'mutation', 'spastic', 'paraplegia', 'due', 'nte', 'mutation', 'spg39', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 3a a hereditary spastic paraplegia that is characterized by lower limb weakness and spasticity that is generally non progressive or extremely slow and has material basis in mutation in the atl1 gene on chromosome 14q22. autosomal dominant familial spastic paraplegia 1 autosomal dominant spastic paraplegia 3 autosomal dominant spastic paraplegia type 3 fsp1 spg3a strumpell disease    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 3a a hereditary spastic paraplegia that is characterized by lower limb weakness and spasticity that is generally non progressive or extremely slow and has material basis in mutation in the atl1 gene on chromosome 14q22 autosomal dominant familial spastic paraplegia 1 autosomal dominant spastic paraplegia 3 autosomal dominant spastic paraplegia type 3 fsp1 spg3a strumpell disease    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '3a', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'is', 'characterized', 'by', 'lower', 'limb', 'weakness', 'and', 'spasticity', 'that', 'is', 'generally', 'non', 'progressive', 'or', 'extremely', 'slow', 'and', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'atl1', 'gene', 'on', 'chromosome', '14q22', 'autosomal', 'dominant', 'familial', 'spastic', 'paraplegia', '1', 'autosomal', 'dominant', 'spastic', 'paraplegia', '3', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '3', 'fsp1', 'spg3a', 'strumpell', 'disease', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '3a', 'hereditary', 'spastic', 'paraplegia', 'characterized', 'lower', 'limb', 'weakness', 'spasticity', 'generally', 'non', 'progressive', 'extremely', 'slow', 'material', 'basis', 'mutation', 'atl1', 'gene', 'chromosome', '14q22', 'autosomal', 'dominant', 'familial', 'spastic', 'paraplegia', '1', 'autosomal', 'dominant', 'spastic', 'paraplegia', '3', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '3', 'fsp1', 'spg3a', 'strumpell', 'disease', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 4 a hereditary spastic paraplegia that is characterized by slowly progressive muscle weakness and spasticity and has material basis in mutation in the spast gene on chromosome 2p22. autosomal dominant spastic paraplegia 4 autosomal dominant spastic paraplegia type 4 spg4    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 4 a hereditary spastic paraplegia that is characterized by slowly progressive muscle weakness and spasticity and has material basis in mutation in the spast gene on chromosome 2p22 autosomal dominant spastic paraplegia 4 autosomal dominant spastic paraplegia type 4 spg4    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '4', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'is', 'characterized', 'by', 'slowly', 'progressive', 'muscle', 'weakness', 'and', 'spasticity', 'and', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'spast', 'gene', 'on', 'chromosome', '2p22', 'autosomal', 'dominant', 'spastic', 'paraplegia', '4', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '4', 'spg4', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '4', 'hereditary', 'spastic', 'paraplegia', 'characterized', 'slowly', 'progressive', 'muscle', 'weakness', 'spasticity', 'material', 'basis', 'mutation', 'spast', 'gene', 'chromosome', '2p22', 'autosomal', 'dominant', 'spastic', 'paraplegia', '4', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '4', 'spg4', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 41 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 11p14.1 p11.2. autosomal dominant spastic paraplegia 41 autosomal dominant spastic paraplegia type 41 spg41    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 41 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 11p141 p112 autosomal dominant spastic paraplegia 41 autosomal dominant spastic paraplegia type 41 spg41    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '41', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '11p141', 'p112', 'autosomal', 'dominant', 'spastic', 'paraplegia', '41', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '41', 'spg41', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '41', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '11p141', 'p112', 'autosomal', 'dominant', 'spastic', 'paraplegia', '41', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '41', 'spg41', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 42 a hereditary spastic paraplegia that has material basis in mutation in the slc33a1 gene on chromosome 3q25.31. autosomal dominant spastic paraplegia 42 autosomal dominant spastic paraplegia type 42 spg42    hereditary spastic paraplegia immunogenetics ,hereditary spastic paraplegia 42 a hereditary spastic paraplegia that has material basis in mutation in the slc33a1 gene on chromosome 3q2531 autosomal dominant spastic paraplegia 42 autosomal dominant spastic paraplegia type 42 spg42    hereditary spastic paraplegia immunogenetics ,"['hereditary', 'spastic', 'paraplegia', '42', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'slc33a1', 'gene', 'on', 'chromosome', '3q2531', 'autosomal', 'dominant', 'spastic', 'paraplegia', '42', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '42', 'spg42', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '42', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'slc33a1', 'gene', 'chromosome', '3q2531', 'autosomal', 'dominant', 'spastic', 'paraplegia', '42', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '42', 'spg42', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 43 a hereditary spastic paraplegia that has material basis in mutation in the c19orf12 gene on chromosome 19q12. autosomal recessive spastic paraplegia 43 autosomal recessive spastic paraplegia type 43 spg43    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 43 a hereditary spastic paraplegia that has material basis in mutation in the c19orf12 gene on chromosome 19q12 autosomal recessive spastic paraplegia 43 autosomal recessive spastic paraplegia type 43 spg43    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '43', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'c19orf12', 'gene', 'on', 'chromosome', '19q12', 'autosomal', 'recessive', 'spastic', 'paraplegia', '43', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '43', 'spg43', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '43', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'c19orf12', 'gene', 'chromosome', '19q12', 'autosomal', 'recessive', 'spastic', 'paraplegia', '43', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '43', 'spg43', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 44 a hereditary spastic paraplegia that has material basis in mutation in the gjc2 gene on chromosome 1q42. autosomal recessive spastic paraplegia 44 spg44    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 44 a hereditary spastic paraplegia that has material basis in mutation in the gjc2 gene on chromosome 1q42 autosomal recessive spastic paraplegia 44 spg44    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '44', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'gjc2', 'gene', 'on', 'chromosome', '1q42', 'autosomal', 'recessive', 'spastic', 'paraplegia', '44', 'spg44', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '44', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'gjc2', 'gene', 'chromosome', '1q42', 'autosomal', 'recessive', 'spastic', 'paraplegia', '44', 'spg44', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 45 a hereditary spastic paraplegia that has material basis in mutation in the nt5c2 gene on chromosome 10q24. autosomal recessive spastic paraplegia 45 autosomal recessive spastic paraplegia type 45 autosomal recessive spastic paraplegia type 65 spg45 spg65    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 45 a hereditary spastic paraplegia that has material basis in mutation in the nt5c2 gene on chromosome 10q24 autosomal recessive spastic paraplegia 45 autosomal recessive spastic paraplegia type 45 autosomal recessive spastic paraplegia type 65 spg45 spg65    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '45', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'nt5c2', 'gene', 'on', 'chromosome', '10q24', 'autosomal', 'recessive', 'spastic', 'paraplegia', '45', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '45', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '65', 'spg45', 'spg65', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '45', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'nt5c2', 'gene', 'chromosome', '10q24', 'autosomal', 'recessive', 'spastic', 'paraplegia', '45', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '45', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '65', 'spg45', 'spg65', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
